Rank,Problem Statement,Category,Innovation,Feasibility,Impact,Tech Depth,Sustainability,Scalability,Total Score,Summary
11,Hardware to detect and prevent unauthorized use of electric fences,General Innovation,3,5,4,4,4,5,25,"This project scores moderately on innovation (3/5) since the idea of securing electric fences is not entirely new, but developing specialized hardware for detection and prevention adds practical value. Feasibility (5/5) is excellent as sensors, IoT modules, and embedded systems can be reliably built. The impact (4/5) is strong, ensuring safety, preventing misuse, and protecting both humans and wildlife. Technical depth (4/5) is significant, involving circuit design, sensor calibration, and possibly wireless alert systems. Sustainability (4/5) is good since once deployed, the hardware will function with low maintenance and long durability. Scalability (5/5) is very high as it can be implemented across farms, forest areas, and industrial boundaries with minimal modifications."
12,Smart Waste Segregation and Recycling System,Environment & Sustainability,3,3,5,4,5,5,25,"This solution scores fairly on innovation (3/5), as waste segregation systems already exist, but adding smart automation and recycling intelligence gives it new relevance. Feasibility (3/5) is moderate because large-scale deployment requires infrastructure, sensors, and municipal cooperation. The impact (5/5) is excellent, as it can greatly reduce landfill waste, improve recycling rates, and support environmental goals. Technical depth (4/5) is solid, requiring machine vision, conveyor automation, and robotics. Sustainability (5/5) is very high since recycling systems can operate continuously and contribute to a circular economy. Scalability (5/5) is outstanding, as the system can be replicated across cities, industries, and housing complexes worldwide."
13,Solar-Powered Dewatering in Mining Operations,Mining & Metallurgy,2,4,5,3,5,5,24,"This idea scores lower on innovation (2/5) since solar-powered pumping systems are already known, but applying them specifically for mining dewatering has niche utility. Feasibility (4/5) is fairly good, with solar infrastructure already mature, though operational consistency during cloudy conditions may be a concern. The impact (5/5) is strong as it reduces energy costs, lowers carbon emissions, and improves mining sustainability. Technical depth (3/5) is moderate, requiring solar array design, pumping systems, and energy storage solutions. Sustainability (5/5) is excellent since solar-powered systems can operate long-term with low maintenance. Scalability (5/5) is very high, as the solution can be replicated across mining industries globally, especially in sun-rich regions."
14,AI-Driven Life Cycle Assessment Tool for Metallurgy and Mining,Mining & Metallurgy,4,4,5,3,5,3,24,"This solution scores high on innovation (4/5), as using AI for life cycle assessment is an emerging approach in mining and metallurgy. Feasibility (4/5) is good since AI algorithms and large datasets can be developed, though data availability from industries may be a limitation. The impact (5/5) is strong as it supports eco-friendly operations, resource efficiency, and sustainable mining. Technical depth (3/5) is moderate, involving AI modeling, data integration, and sustainability metrics. Sustainability (5/5) is excellent as the tool can continuously analyze processes over time. Scalability (3/5) is limited because adaptation may require industry-specific data, making widespread rollout slower."
15,Disaster Response Drone for Remote Areas,General Innovation,5,2,4,3,5,5,24,"This problem scores very high on innovation (5/5) as drones for targeted disaster response in remote areas represent a breakthrough solution. Feasibility (2/5) is weaker, since drones need strong communication links, weather resistance, and large battery capacity for real-life disaster zones. The impact (4/5) is strong, as drones can deliver aid, assess damage, and save lives. Technical depth (3/5) is moderate, involving drone engineering, AI navigation, and live streaming. Sustainability (5/5) is very high since drones can be reused in multiple disasters. Scalability (5/5) is excellent as similar systems can be adapted across countries for earthquake, flood, and wildfire management."
16,Develop a blockchain-based system for botanical traceability of Ayurvedic herbs,Digital & AI Solutions,5,5,5,5,2,2,24,"This project scores very high on innovation (5/5), applying blockchain to track authenticity in Ayurvedic herbs. Feasibility (5/5) is excellent, as blockchain systems can be readily implemented, though ensuring farmer adoption may be a hurdle. The impact (5/5) is outstanding, ensuring product authenticity, global trust, and boosting exports of Ayurveda-based products. Technical depth (5/5) is very strong, requiring smart contracts, traceability standards, and supply chain integration. Sustainability (2/5) is weaker because constant updates and data validation may increase costs. Scalability (2/5) is limited since cultural, regulatory, and adoption challenges might slow expansion beyond pilot projects."
17,Remote classroom for rural colleges,Education,5,5,3,5,4,2,24,"This solution scores very high on innovation (5/5), offering equal educational access through remote digital classrooms. Feasibility (5/5) is excellent since existing online learning platforms and communication networks can be leveraged, though rural connectivity remains a challenge. The impact (3/5) is moderate, as success depends heavily on student engagement and teacher adaptation. Technical depth (5/5) is strong, involving video streaming, interactive tools, and AI-based learning analytics. Sustainability (4/5) is solid, provided regular content updates and maintenance are managed. Scalability (2/5) is weaker since replicating it across remote areas requires infrastructure and large-scale investment."
18,Improved Onion storage technology for enhancing shelf life of onions,General Innovation,4,3,5,4,4,4,24,"This project scores moderately high on innovation (4/5), as onion storage solutions exist, but new technologies to extend shelf life are valuable to farmers. Feasibility (3/5) is moderate due to the cost and need for localized designs suited to different climates. The impact (5/5) is excellent, as it reduces post-harvest loss and benefits both farmers and markets. Technical depth (4/5) is good, involving ventilation systems, humidity control, and possibly IoT sensors. Sustainability (4/5) is strong since storage solutions can last many years with maintenance. Scalability (4/5) is also strong, as the technology can be extended to different regions and even other crops with modifications."
19,Gamified Learning Platform for Rural Education,Education,2,2,5,5,4,5,23,"This solution scores lower on innovation (2/5) since gamification in learning is well-known, but applying it specifically in rural education is its differentiator. Feasibility (2/5) is weaker due to challenges with digital access, literacy levels, and device availability in rural areas. The impact (5/5) is very strong, as it could make learning engaging and improve outcomes in underserved communities. Technical depth (5/5) is considerable, requiring interactive design, adaptive content, and backend analytics. Sustainability (4/5) is strong, as new games and challenges can be continuously added to keep students engaged. Scalability (5/5) is excellent since once built, the platform can be adapted across multiple regions and curricula."
20,"Smart Tourist Safety Monitoring & Incident Response System using AI, Geo-Fencing, and Blockchain-based Digital ID",Digital & AI Solutions,4,3,4,2,5,5,23,"This project scores high on innovation (4/5), as combining AI, geo-fencing, and blockchain for tourist safety is a novel solution. Feasibility (3/5) is moderate, requiring coordination with law enforcement, government, and tourist operators. The impact (4/5) is strong, ensuring visitor safety and boosting tourism confidence. Technical depth (2/5) is relatively limited, as the core technologies already exist, but integration across multiple systems is the challenge. Sustainability (5/5) is excellent since digital systems can run long-term with minimal maintenance. Scalability (5/5) is also excellent as the solution can be adapted to tourist destinations globally with policy support."
21,Implementation of Smart Agriculture for Efficient Cultivation in Hilly Regions,Agriculture,3,5,4,3,4,4,23,"This project emphasizes applying smart agriculture practices in hilly terrains where conventional methods face challenges due to uneven land, soil erosion, and limited mechanization. With strong relevance (5) and good feasibility (4), it proposes integrating IoT-based monitoring, soil sensors, and water management systems to improve efficiency. Its scalability (3) is moderate, as terrain-specific customization is needed, but its overall impact (4) and innovation (4) ensure tangible benefits to farmers. The resource requirement (3) is reasonable, making this solution highly practical. Overall, the project has strong potential to enhance agricultural productivity in niche geographies."
22,Blockchain-Based Blue Carbon Registry and MRV System,Digital & AI Solutions,2,3,4,5,5,4,23,"This solution introduces blockchain to create a transparent and verifiable registry for carbon sequestration in blue carbon ecosystems (mangroves, wetlands, seagrasses). With good relevance (4) and high innovation (5), it provides a secure MRV (Measurement, Reporting, Verification) framework that can attract carbon credits and sustainability investments. Feasibility (3) indicates moderate implementation challenges due to technical integration and stakeholder buy-in, but scalability (5) and long-term impact (4) are strong, especially in climate action policies. Resource requirement (2) is slightly high but justified. Overall, this idea can revolutionize carbon accounting for conservation projects."
23,Application for assessment of Roof Top Rain water harvesting and artificial recharge potential,Environment & Sustainability,5,5,4,3,4,2,23,"This project proposes a digital tool for evaluating rooftop rainwater harvesting and recharge feasibility in urban and semi-urban areas. With maximum relevance (5) and high feasibility (5), the application can guide sustainable water management at scale. Scalability (4) is also strong, as it can be applied across diverse geographies, though impact (3) reflects dependency on community adoption. Innovation (4) is solid, while resource requirements (2) are manageable with proper data integration. Overall, this tool can significantly aid water conservation and reduce dependency on groundwater in urban ecosystems."
24,AI-Based Farmer Query Support and Advisory System,Agriculture,5,2,5,5,4,2,23,"This system leverages AI to provide instant support to farmers regarding crop management, pest control, soil health, and irrigation. With maximum relevance (5) and strong innovation (5), the idea fills critical knowledge gaps in rural areas. Feasibility (2) indicates challenges in language localization and training datasets, but scalability (5) and impact (4) are very promising for widespread adoption. Resource intensity (2) is slightly higher due to AI infrastructure needs. Overall, this solution is transformative for farmer empowerment, despite implementation hurdles."
25,"Solution for Non-Revenue Loss in Water Supply, Awareness in Water Conservation, and Reuse",Environment & Sustainability,3,4,2,5,4,5,23,"This project addresses water supply losses, conservation, and reuse through awareness campaigns and monitoring solutions. With good relevance (4) and high impact (5), the idea targets reducing inefficiencies in municipal systems. Feasibility (4) and scalability (3) suggest that the project is practical but requires strong institutional collaboration. Innovation (2) is modest as the methods are not entirely new, but resource requirement (5) is well justified for long-term benefits. Overall, this solution offers sustainable improvements to water resource management."
26,Digital Mental Health and Psychological Support System for Students in Higher Education,Healthcare,5,4,4,5,2,3,23,"This initiative provides digital platforms offering counseling, therapy access, and peer support for students. With very high relevance (5) and feasibility (4), it responds to rising mental health needs in higher education. Impact (5) is significant, ensuring better wellbeing and academic performance, while scalability (2) is a concern due to cultural sensitivities and awareness. Innovation (3) is fair, focusing more on accessibility than unique methods. Resource requirement (3) is manageable. Overall, this project has transformative potential for addressing the mental health crisis in academic institutions."
27,Design 4-story commercial office building using Revit Architecture and Structure in BIM,General Innovation,4,5,3,3,4,4,23,"This project leverages BIM (Building Information Modelling) and Revit tools for designing a sustainable and efficient office building. Relevance (4) and feasibility (5) are strong, while scalability (3) reflects applicability across construction projects. Innovation (3) is moderate since BIM is established, but impact (4) is meaningful in reducing construction errors, costs, and timelines. Resource requirement (4) is justified for training and licensing needs. Overall, this project demonstrates practical application of BIM for real-world construction efficiency."
28,Improving the Renewable Energy hosting capacity in Distribution Feeders,Energy,4,2,4,5,5,3,23,"This solution enhances the grid ability to integrate renewable energy by optimizing feeder design and load management. With relevance (4) and high feasibility (4), it addresses a key challenge in renewable adoption. Scalability (5) and impact (5) are strong, as it can be replicated across utility networks. Innovation (2) is modest, as grid optimization methods are established, but resource requirement (3) is practical. Overall, this project ensures reliable, large-scale integration of renewable energy sources."
29,AI-powered FRA Atlas and WebGIS DSS for Forest Rights Act Monitoring,Digital & AI Solutions,4,5,2,5,3,4,23,"This project develops an AI and GIS-enabled system for tracking and monitoring land rights under the FRA Act. With strong relevance (5) and feasibility (4), it supports tribal communities in claiming and managing their land rights. Scalability (5) and innovation (3) are strong, though impact (2) reflects limited direct societal effect unless integrated with policy frameworks. Resource requirement (4) is justified given the scope. Overall, this idea can significantly enhance transparency and governance in forest rights implementation."
30,Digital Platform for Centralized Alumni Data Management and Engagement,Digital & AI Solutions,2,5,3,4,5,4,23,"This platform provides a unified system for managing alumni databases, networking, and institutional engagement. Relevance (5) is strong for academic institutions, while feasibility (3) and innovation (4) suggest moderate novelty but strong utility. Scalability (5) ensures wide adoption across universities, while impact (4) highlights improved alumni participation. Resource requirement (2) is relatively low, making this an efficient project. Overall, the solution supports stronger institutional-community relationships."
31,Telemedicine Access for Rural Healthcare in Nabha,Healthcare,5,4,3,5,2,4,23,"This project provides a telemedicine platform for rural populations with limited access to hospitals and specialists. With very high relevance (5) and feasibility (4), it addresses healthcare gaps effectively. Impact (5) is significant, while scalability (3) suggests moderate challenges in infrastructure readiness. Innovation (2) is limited, but resource requirement (4) is justified. Overall, this project is highly impactful for rural healthcare delivery."
32,AI-Based Crop Recommendation for Farmers,Agriculture,3,5,2,3,5,4,22,"This AI system suggests suitable crops based on soil, climate, and resource availability. Relevance (5) is strong, while feasibility (3) indicates moderate challenges in data collection. Impact (5) is very high, and scalability (2) reflects dependence on region-specific adaptation. Innovation (3) is moderate, but resource requirement (4) is practical. Overall, this project empowers farmers to maximize yields and adapt to climate risks."
33,AyurSutra- Panchakarma Patient Management and Therapy Scheduling Software,Healthcare,3,5,5,2,2,5,22,"This healthcare software focuses on digitizing traditional Panchakarma therapy management and scheduling. Relevance (5) is strong for Ayurveda centers, while feasibility (5) ensures smooth digital integration. Scalability (2) is limited, as it mainly targets niche wellness centers. Innovation (2) is modest, though impact (5) is significant for patient experience. Resource requirement (3) is balanced. Overall, this project improves efficiency in Ayurveda healthcare systems."
34,Language Agnostic Chatbot,Digital & AI Solutions,4,3,5,4,4,2,22,"This chatbot supports multiple languages without dependency on a specific one, making it versatile for global use. Relevance (3) and feasibility (5) indicate strong technical capability, while scalability (4) and innovation (5) highlight its novelty. Impact (2) is limited unless widely adopted. Resource requirement (2) is reasonable. Overall, the chatbot is highly innovative, though societal reach may take time to realize."
35,Accelerating High-Fidelity Road Network Modeling for Indian Traffic Simulations,General Innovation,5,5,2,2,3,5,22,"This project develops road network models for simulating traffic conditions in India. With strong relevance (5) and innovation (5), it aids urban planners and policymakers. Feasibility (2) is low due to data and computational challenges, while scalability (2) is limited to specific cities. Impact (3) and resource requirement (5) reflect significant long-term value despite initial hurdles. Overall, the project contributes to smarter traffic management solutions."
36,"AI-powered monitoring of crop health, soil condition, and pest risks",Healthcare,5,4,5,4,2,2,22,"This solution uses AI to track crop and soil conditions and predict pest outbreaks. With high relevance (5) and feasibility (4), it addresses agricultural challenges effectively. Impact (4) is also significant, though scalability (2) is limited by regional variations. Innovation (5) is strong, while resource requirement (2) is modest. Overall, this project integrates technology with agriculture for better productivity."
37,Image based breed recognition for cattle and buffaloes of India,General Innovation,5,2,5,3,3,4,22,"This project develops AI-based recognition systems for identifying livestock breeds. With relevance (5) and innovation (5), it supports breeding programs and livestock management. Feasibility (2) and scalability (3) are moderate, as large datasets are required. Impact (3) is reasonable, while resource requirement (4) is manageable. Overall, the project strengthens livestock monitoring for farmers and researchers."
38,Design autonomous small precision machine for planting crops or weeding,Agriculture,3,3,5,4,3,4,22,"This project proposes a small autonomous machine to aid precision farming. Relevance (3) and feasibility (3) are moderate due to technical complexities, but innovation (5) and impact (3) are notable. Scalability (4) is strong for agricultural adoption, while resource requirement (4) is balanced. Overall, this project demonstrates a futuristic approach to reducing farm labor dependency."
39,AI-Driven Train Induction Planning & Scheduling for Kochi Metro Rail Limited (KMRL),Railways & Transport,3,5,5,3,4,2,22,"This project applies AI to optimize train scheduling for metro operations. With strong relevance (5) and feasibility (5), it directly benefits transport systems. Innovation (5) highlights its novelty, though scalability (2) limits its adoption to specific metros. Impact (3) and resource requirement (4) reflect practical benefits with manageable costs. Overall, this solution improves efficiency in urban mobility."
40,Disaster Preparedness and Response Education System for Schools and Colleges,Education,2,5,5,3,3,4,22,"This initiative creates an educational framework for disaster awareness and preparedness among students. Relevance (5) and innovation (5) are strong, while feasibility (3) suggests moderate implementation effort. Impact (4) is significant, as it builds long-term resilience. Scalability (3) indicates adoption potential across institutions, and resource requirement (4) is reasonable. Overall, this project addresses critical gaps in disaster education effectively."
41,Waste Segregation Monitoring System for Urban Local Bodies,Environment & Sustainability,2,3,3,4,5,5,22,"This problem statement scores high on sustainability (5) and scalability (5), showing its strong alignment with long-term urban waste management goals. With innovation (2) and feasibility (3), the idea is moderately novel but still practical for implementation. The technical depth (4) demonstrates the solution requires a solid technical framework, potentially involving IoT or sensors. Its overall impact (3) highlights it as an effective tool for civic bodies, though community adoption might be a challenge. With a total score of 22, this system promises a sustainable approach to handling urban waste segregation."
42,Cost effective solution for detecting the breakage of Low Voltage AC Distribution Over Head conductors,General Innovation,2,5,3,4,3,5,22,"The solution scores highest in feasibility (5) and scalability (5), highlighting its practicality and potential widespread adoption across electrical utilities. Its innovation score (2) shows it not radically new, but its cost-effectiveness is the differentiator. With technical depth (4) and sustainability (3), the solution stands as a reliable, long-term intervention. The overall impact score (3) suggests its benefits lie in improving operational efficiency and reducing power outages. Scoring 22 overall, this project offers a practical innovation with high deployment potential."
43,Automated Student Attendance Monitoring and Analytics System for Colleges,Education,4,3,3,5,3,4,22,"With strong feasibility (5) and decent innovation (4), this system presents a very practical solution for colleges. It scores 3 across impact, technical depth, and sustainability, indicating balanced but moderate performance across parameters. Scalability (4) strengthens its case, as educational institutions nationwide could adopt it. With a total score of 22, this solution is impactful within the education sector, though it may face competition from existing systems and requires strong analytics to stand out."
44,Enhancing Student Awareness on difference between Aadhaar linked and DBT seeded bank account,Education,4,2,5,4,3,4,22,"This problem emphasizes awareness rather than technical innovation, hence it scores low in feasibility (2) and technical depth (3). However, it has strong impact potential (5), as financial literacy is critical for students. Sustainability and scalability (both 4) reflect its potential for long-term education campaigns across institutions. Innovation (4) also highlights its novelty as an educational intervention. Totaling 22, this idea is impactful from a socio-educational perspective more than a technical one."
45,Smart Traffic Management System for Urban Congestion,General Innovation,5,4,2,3,3,5,22,"This idea is highly innovative (5) and has strong scalability (5), making it a robust urban solution. However, feasibility (2) and technical depth (3) scores show challenges in execution due to infrastructural requirements. Its sustainability (3) and impact (4) reflect medium-term effectiveness. With a total of 22, the project is ambitious but requires significant resources and policy alignment for implementation."
46,Renewable Energy Monitoring System for Microgrids,Energy,4,2,4,2,5,5,22,"The solution stands out in sustainability (5) and scalability (5), showcasing long-term energy resilience. It is moderately innovative (4) and technically sound (4), though feasibility (2) suggests challenges in setup costs or integration. With impact at 2, its benefits may be indirect, primarily strengthening energy management efficiency. Scoring 22 overall, it a forward-looking solution well-suited for smart energy ecosystems."
47,Smart Classroom & Timetable Scheduler,General Innovation,5,3,4,3,5,2,22,"This problem scores high in innovation (5) and feasibility (3), reflecting its novelty in classroom automation. Its impact (4) and technical depth (3) make it a practical but not overly complex solution. Scalability (2) is its weakest point, possibly due to institutional variation in scheduling. With sustainability (5), the solution holds long-term value in modern education. Total score: 22."
48,FloatChat - AI-Powered Conversational Interface for ARGO Ocean Data Discovery and Visualization,Digital & AI Solutions,5,4,5,2,2,4,22,"This solution is strong in innovation (5), technical depth (5), and feasibility (4), showing strong potential in AI-powered research. Its impact (2) and sustainability (2) are relatively weaker, suggesting a niche application mostly for scientific communities. Scalability (4) highlights its adoption in specialized domains like ocean research centers. With 22 points, this is a high-tech, niche innovation with strong AI-driven value."
49,AI-Powered Personal Farming Assistant for Kerala Farmers,Agriculture,5,3,2,5,3,3,21,"This is highly impactful (5) and innovative (5), tailored for agriculture. However, feasibility (3) and technical depth (2) show execution barriers, especially in rural deployment. Sustainability and scalability (3 each) keep it moderately viable. With 21 points overall, the assistant can bring big benefits if localized well, but needs affordable, farmer-friendly design."
50,Digitize and Showcase Monasteries of Sikkim for Tourism and Cultural Preservation,General Innovation,3,4,5,2,4,3,21,"The project scores highest in impact (5), as it preserves culture and boosts tourism. Feasibility (4) and sustainability (4) strengthen its practicality. However, innovation (3) and technical depth (2) show limited novelty or complexity. Scalability (3) is moderate since it region-specific. With 21 overall, this idea is a meaningful cultural project with strong social value."
51,Programs to identify design principles behind Kolam designs and recreate,General Innovation,4,5,2,4,3,3,21,"This problem has high innovation (4) and sustainability (4), showing value in preserving traditional arts. Feasibility (5) also makes it highly practical. Impact (2) and scalability (3) reflect its niche relevance, while technical depth (3) is moderate. Total score: 21. It strong for cultural-educational preservation with limited mainstream adoption."
52,AI-Based Smart Allocation Engine for PM Internship Scheme,Digital & AI Solutions,2,5,5,2,5,2,21,"The project is very innovative (5) and impactful (5), though feasibility (2) shows execution challenges in scaling AI in government allocations. Technical depth (5) emphasizes a strong AI-driven backbone, while sustainability and scalability (2 each) reflect weaker long-term adoption. Scoring 21, this is a high-value innovation if administrative challenges can be overcome."
53,Sentiment analysis of comments received through E-consultation module,General Innovation,2,5,5,2,3,4,21,"This project excels in innovation (5) and technical depth (5), offering modern insights into public consultation. Its feasibility (2) and sustainability (3) are weaker, as large-scale deployment may be resource-heavy. Scalability (4) boosts its potential usage across platforms. Scoring 21, this is a valuable digital governance tool."
54,Low-cost camera-based automated beach sand grain size mapping system,Digital & AI Solutions,2,4,3,5,5,2,21,"This problem emphasizes technical depth (5) and sustainability (5), showing value in environmental monitoring. Feasibility (2) and innovation (2) are relatively weak, as the concept may already exist but at higher cost. Impact (3) is moderate, and scalability (2) suggests niche application. With 21 points, it is a technically strong but domain-specific project."
55,Development of a Digital Farm Management Portal for Monitoring Maximum Residue Limits (MRL) and Antimicrobial Usage (AMU) in Livestock,Agriculture,2,4,4,3,4,4,21,"The solution balances all parameters with moderate scores: feasibility (4), technical depth (4), sustainability (4). Its innovation (2) is limited, but impact (4) and scalability (3) show good long-term sectoral benefits. With 21 total, this is a practical, steady solution for agriculture compliance."
56,Authenticity Validator for Academia,General Innovation,5,5,3,2,4,2,21,"This solution is highly innovative (5) with strong impact (3) and sustainability (4). Feasibility (5) shows it is practical to implement, while technical depth (3) suggests moderate complexity. Scalability (2) reflects adoption challenges across varied academic systems. Scoring 21, it impactful in combating academic fraud."
57,Crowdsourced Civic Issue Reporting and Resolution System,General Innovation,4,3,3,2,5,4,21,"This is highly sustainable (5) and impactful (3), with feasibility (3). Innovation (4) shows its novelty, though scalability (4) may depend on public adoption. Technical depth (2) is limited as it may rely on existing apps. Total: 21. Strong for civic engagement, but requires strong governance tie-ups."
58,AI-driven ChatBOT for INGRES as a virtual assistant,Digital & AI Solutions,3,3,2,5,4,4,21,"This project scores well on impact (5), sustainability (4), and scalability (4). Innovation (3) and feasibility (3) show moderate practical strength. Technical depth (2) reflects limited AI complexity. With 21 points, this is a practical AI support tool for INGRES operations."
